Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Previous_GPA_Anomaly_Flag,Previous_GPA_Cleaned,Tutoring_Sessions_Per_Week_IQR_Outlier_Flag,Final_Score_IQR_Outlier_Flag,Sleep_Hours_IQR_Outlier_Flag,Previous_GPA_IQR_Outlier_Flag,Exam_Anxiety_Score_IQR_Outlier_Flag,Attendance_IQR_Outlier_Flag,Hours_Studied_IQR_Outlier_Flag,Screen_Time_IQR_Outlier_Flag,Age_IQR_Outlier_Flag,Stress_Level_IQR_Outlier_Flag,Performance_Category,Study_Hours_Group,Attendance_Group,Sleep_Category,Stress_Category,Anxiety_Category,Screen_Time_Group,Risk_Score,Risk_Level
STU00001,17,Female,8.2,80.0,7.3,2.3,3.2,3.07,No,Online,Average,Average,Yes,3,High,1.8,87.1,False,3.07,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Low,Low,Moderate Screen Time (2-5h),0,Low Risk
STU00002,22,Male,4.07,69.2,7.9,3.6,0.5,2.66,Yes,Offline,Average,Good,No,2,Middle,1.0,92.03,False,2.66,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Low Attendance (<70%),Ideal Sleep (6-8h),Medium,Low,Low Screen Time (≤2h),1,Low Risk
STU00003,23,Female,5.07,74.2,6.7,2.6,4.7,3.27,No,Hybrid,Average,Good,No,1,Middle,4.2,95.37,False,3.27,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Low,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00004,22,Female,5.82,82.5,3.7,3.3,2.3,2.87,No,Offline,Average,Excellent,No,0,Middle,3.6,90.73,False,2.87,False,False,True,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Short Sleep (<6h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00005,21,Male,3.42,90.8,7.4,7.0,3.1,2.82,Yes,Offline,Average,Good,No,2,Middle,4.5,74.71,False,2.82,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),High Attendance (>85%),Ideal Sleep (6-8h),High,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00006,22,Female,5.0,82.7,6.5,9.1,3.8,3.16,No,Hybrid,Good,Average,No,1,High,1.4,93.98,False,3.16,False,False,False,False,False,False,False,False,False,False,Excellent,Moderate Study (3-6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,Low,Moderate Screen Time (2-5h),1,Low Risk
STU00007,17,Male,5.0,78.9,5.0,7.8,3.0,2.92,No,Online,Average,Good,Yes,1,Middle,4.2,64.99,False,2.92,False,False,False,False,False,False,False,False,False,False,Needs Improvement,Moderate Study (3-6h),Moderate Attendance (70-85%),Short Sleep (<6h),High,Medium,Moderate Screen Time (2-5h),2,Medium Risk
STU00008,19,Male,1.49,77.4,6.0,6.2,4.7,2.08,No,Offline,Average,Average,Yes,0,Middle,7.1,44.64,False,2.08,False,True,False,False,False,False,False,False,False,False,At Risk,Low Study (<3h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),High,High,Moderate Screen Time (2-5h),4,High Risk
STU00009,21,Female,7.04,95.6,6.7,3.0,2.7,3.28,No,Online,Poor,Poor,No,2,High,4.0,96.95,False,3.28,False,False,False,False,False,False,False,False,False,False,Excellent,High Study (>6h),High Attendance (>85%),Ideal Sleep (6-8h),Low,Medium,Moderate Screen Time (2-5h),0,Low Risk
STU00010,19,Female,6.2,71.9,6.4,4.6,5.0,2.05,No,Hybrid,Average,Average,Yes,0,High,4.3,81.24,False,2.05,False,False,False,False,False,False,False,False,False,False,Good,High Study (>6h),Moderate Attendance (70-85%),Ideal Sleep (6-8h),Medium,Medium,Moderate Screen Time (2-5h),0,Low Risk
